home,away,status
Manchester United FC,Wolverhampton Wanderers FC,SCHEDULED
Burnley FC,Sheffield United FC,SCHEDULED
Southampton FC,West Ham United FC,SCHEDULED
Crystal Palace FC,Leicester City FC,SCHEDULED
Brighton & Hove Albion FC,Arsenal FC,SCHEDULED
Newcastle United FC,Leicester City FC,SCHEDULED
Chelsea FC,Manchester City FC,SCHEDULED
Tottenham Hotspur FC,Leeds United FC,SCHEDULED
Everton FC,West Ham United FC,SCHEDULED
West Bromwich Albion FC,Arsenal FC,SCHEDULED
Manchester United FC,Aston Villa FC,SCHEDULED
Burnley FC,Fulham FC,SCHEDULED
Southampton FC,Liverpool FC,SCHEDULED
Crystal Palace FC,Sheffield United FC,SCHEDULED
Brighton & Hove Albion FC,Wolverhampton Wanderers FC,SCHEDULED
Wolverhampton Wanderers FC,Everton FC,SCHEDULED
Fulham FC,Manchester United FC,SCHEDULED
Aston Villa FC,Tottenham Hotspur FC,SCHEDULED
Arsenal FC,Crystal Palace FC,SCHEDULED
Sheffield United FC,Newcastle United FC,SCHEDULED
Leicester City FC,Chelsea FC,SCHEDULED
West Ham United FC,West Bromwich Albion FC,SCHEDULED
Leeds United FC,Southampton FC,SCHEDULED
Liverpool FC,Burnley FC,SCHEDULED
Manchester City FC,Brighton & Hove Albion FC,SCHEDULED
Wolverhampton Wanderers FC,West Bromwich Albion FC,SCHEDULED
Fulham FC,Chelsea FC,SCHEDULED
Aston Villa FC,Everton FC,SCHEDULED
Liverpool FC,Manchester United FC,SCHEDULED
Manchester City FC,Crystal Palace FC,SCHEDULED
Arsenal FC,Newcastle United FC,SCHEDULED
Sheffield United FC,Tottenham Hotspur FC,SCHEDULED
Leicester City FC,Southampton FC,SCHEDULED
West Ham United FC,Burnley FC,SCHEDULED
Leeds United FC,Brighton & Hove Albion FC,SCHEDULED
Everton FC,Leicester City FC,SCHEDULED
Burnley FC,Aston Villa FC,SCHEDULED
Brighton & Hove Albion FC,Fulham FC,SCHEDULED
West Bromwich Albion FC,Manchester City FC,SCHEDULED
Manchester United FC,Sheffield United FC,SCHEDULED
Newcastle United FC,Leeds United FC,SCHEDULED
Chelsea FC,Wolverhampton Wanderers FC,SCHEDULED
Tottenham Hotspur FC,Liverpool FC,SCHEDULED
Southampton FC,Arsenal FC,SCHEDULED
Crystal Palace FC,West Ham United FC,SCHEDULED
Manchester City FC,Sheffield United FC,SCHEDULED
Arsenal FC,Manchester United FC,SCHEDULED
Chelsea FC,Burnley FC,SCHEDULED
Everton FC,Newcastle United FC,SCHEDULED
West Bromwich Albion FC,Fulham FC,SCHEDULED
Leicester City FC,Leeds United FC,SCHEDULED
West Ham United FC,Liverpool FC,SCHEDULED
Southampton FC,Aston Villa FC,SCHEDULED
Crystal Palace FC,Wolverhampton Wanderers FC,SCHEDULED
Brighton & Hove Albion FC,Tottenham Hotspur FC,SCHEDULED
Wolverhampton Wanderers FC,Arsenal FC,SCHEDULED
Fulham FC,Leicester City FC,SCHEDULED
Aston Villa FC,West Ham United FC,SCHEDULED
Sheffield United FC,West Bromwich Albion FC,SCHEDULED
Burnley FC,Manchester City FC,SCHEDULED
Leeds United FC,Everton FC,SCHEDULED
Manchester United FC,Southampton FC,SCHEDULED
Newcastle United FC,Crystal Palace FC,SCHEDULED
Tottenham Hotspur FC,Chelsea FC,SCHEDULED
Liverpool FC,Brighton & Hove Albion FC,SCHEDULED
Wolverhampton Wanderers FC,Leicester City FC,SCHEDULED
Fulham FC,West Ham United FC,SCHEDULED
Aston Villa FC,Arsenal FC,SCHEDULED
Liverpool FC,Manchester City FC,SCHEDULED
Newcastle United FC,Southampton FC,SCHEDULED
Tottenham Hotspur FC,West Bromwich Albion FC,SCHEDULED
Manchester United FC,Everton FC,SCHEDULED
Sheffield United FC,Chelsea FC,SCHEDULED
Burnley FC,Brighton & Hove Albion FC,SCHEDULED
Leeds United FC,Crystal Palace FC,SCHEDULED
Manchester City FC,Tottenham Hotspur FC,SCHEDULED
Arsenal FC,Leeds United FC,SCHEDULED
Chelsea FC,Newcastle United FC,SCHEDULED
Everton FC,Fulham FC,SCHEDULED
West Bromwich Albion FC,Manchester United FC,SCHEDULED
Leicester City FC,Liverpool FC,SCHEDULED
West Ham United FC,Sheffield United FC,SCHEDULED
Southampton FC,Wolverhampton Wanderers FC,SCHEDULED
Crystal Palace FC,Burnley FC,SCHEDULED
Brighton & Hove Albion FC,Aston Villa FC,SCHEDULED
Wolverhampton Wanderers FC,Leeds United FC,SCHEDULED
Fulham FC,Sheffield United FC,SCHEDULED
Aston Villa FC,Leicester City FC,SCHEDULED
Liverpool FC,Everton FC,SCHEDULED
Arsenal FC,Manchester City FC,SCHEDULED
Manchester United FC,Newcastle United FC,SCHEDULED
Burnley FC,West Bromwich Albion FC,SCHEDULED
West Ham United FC,Tottenham Hotspur FC,SCHEDULED
Southampton FC,Chelsea FC,SCHEDULED
Brighton & Hove Albion FC,Crystal Palace FC,SCHEDULED
Manchester City FC,West Ham United FC,SCHEDULED
Newcastle United FC,Wolverhampton Wanderers FC,SCHEDULED
Chelsea FC,Manchester United FC,SCHEDULED
Tottenham Hotspur FC,Burnley FC,SCHEDULED
Everton FC,Southampton FC,SCHEDULED
West Bromwich Albion FC,Brighton & Hove Albion FC,SCHEDULED
Sheffield United FC,Liverpool FC,SCHEDULED
Leicester City FC,Arsenal FC,SCHEDULED
Leeds United FC,Aston Villa FC,SCHEDULED
Crystal Palace FC,Fulham FC,SCHEDULED
Aston Villa FC,Wolverhampton Wanderers FC,SCHEDULED
Liverpool FC,Fulham FC,SCHEDULED
Manchester City FC,Manchester United FC,SCHEDULED
Chelsea FC,Everton FC,SCHEDULED
Tottenham Hotspur FC,Crystal Palace FC,SCHEDULED
West Bromwich Albion FC,Newcastle United FC,SCHEDULED
Sheffield United FC,Southampton FC,SCHEDULED
Burnley FC,Arsenal FC,SCHEDULED
West Ham United FC,Leeds United FC,SCHEDULED
Brighton & Hove Albion FC,Leicester City FC,SCHEDULED
Wolverhampton Wanderers FC,Liverpool FC,SCHEDULED
Fulham FC,Manchester City FC,SCHEDULED
Newcastle United FC,Aston Villa FC,SCHEDULED
Arsenal FC,Tottenham Hotspur FC,SCHEDULED
Everton FC,Burnley FC,SCHEDULED
Manchester United FC,West Ham United FC,SCHEDULED
Leicester City FC,Sheffield United FC,SCHEDULED
Leeds United FC,Chelsea FC,SCHEDULED
Southampton FC,Brighton & Hove Albion FC,SCHEDULED
Crystal Palace FC,West Bromwich Albion FC,SCHEDULED
Fulham FC,Leeds United FC,SCHEDULED
Liverpool FC,Chelsea FC,SCHEDULED
Manchester City FC,Wolverhampton Wanderers FC,SCHEDULED
Tottenham Hotspur FC,Southampton FC,SCHEDULED
West Bromwich Albion FC,Everton FC,SCHEDULED
Sheffield United FC,Aston Villa FC,SCHEDULED
Burnley FC,Leicester City FC,SCHEDULED
West Ham United FC,Arsenal FC,SCHEDULED
Crystal Palace FC,Manchester United FC,SCHEDULED
Brighton & Hove Albion FC,Newcastle United FC,SCHEDULED
Wolverhampton Wanderers FC,West Ham United FC,SCHEDULED
Aston Villa FC,Fulham FC,SCHEDULED
Newcastle United FC,Tottenham Hotspur FC,SCHEDULED
Arsenal FC,Liverpool FC,SCHEDULED
Chelsea FC,West Bromwich Albion FC,SCHEDULED
Everton FC,Crystal Palace FC,SCHEDULED
Manchester United FC,Brighton & Hove Albion FC,SCHEDULED
Leicester City FC,Manchester City FC,SCHEDULED
Leeds United FC,Sheffield United FC,SCHEDULED
Southampton FC,Burnley FC,SCHEDULED
Fulham FC,Wolverhampton Wanderers FC,SCHEDULED
Liverpool FC,Aston Villa FC,SCHEDULED
Manchester City FC,Leeds United FC,SCHEDULED
Tottenham Hotspur FC,Manchester United FC,SCHEDULED
West Bromwich Albion FC,Southampton FC,SCHEDULED
Sheffield United FC,Arsenal FC,SCHEDULED
Burnley FC,Newcastle United FC,SCHEDULED
West Ham United FC,Leicester City FC,SCHEDULED
Crystal Palace FC,Chelsea FC,SCHEDULED
Brighton & Hove Albion FC,Everton FC,SCHEDULED
Wolverhampton Wanderers FC,Sheffield United FC,SCHEDULED
Aston Villa FC,Manchester City FC,SCHEDULED
Newcastle United FC,West Ham United FC,SCHEDULED
Arsenal FC,Fulham FC,SCHEDULED
Chelsea FC,Brighton & Hove Albion FC,SCHEDULED
Everton FC,Tottenham Hotspur FC,SCHEDULED
Manchester United FC,Burnley FC,SCHEDULED
Leicester City FC,West Bromwich Albion FC,SCHEDULED
Leeds United FC,Liverpool FC,SCHEDULED
Southampton FC,Crystal Palace FC,SCHEDULED
Wolverhampton Wanderers FC,Burnley FC,SCHEDULED
Fulham FC,Tottenham Hotspur FC,SCHEDULED
Aston Villa FC,West Bromwich Albion FC,SCHEDULED
Liverpool FC,Newcastle United FC,SCHEDULED
Manchester City FC,Southampton FC,SCHEDULED
Arsenal FC,Everton FC,SCHEDULED
Sheffield United FC,Brighton & Hove Albion FC,SCHEDULED
Leicester City FC,Crystal Palace FC,SCHEDULED
West Ham United FC,Chelsea FC,SCHEDULED
Leeds United FC,Manchester United FC,SCHEDULED
Newcastle United FC,Arsenal FC,SCHEDULED
Chelsea FC,Fulham FC,SCHEDULED
Tottenham Hotspur FC,Sheffield United FC,SCHEDULED
Everton FC,Aston Villa FC,SCHEDULED
West Bromwich Albion FC,Wolverhampton Wanderers FC,SCHEDULED
Manchester United FC,Liverpool FC,SCHEDULED
Burnley FC,West Ham United FC,SCHEDULED
Southampton FC,Leicester City FC,SCHEDULED
Crystal Palace FC,Manchester City FC,SCHEDULED
Brighton & Hove Albion FC,Leeds United FC,SCHEDULED
Wolverhampton Wanderers FC,Brighton & Hove Albion FC,SCHEDULED
Fulham FC,Burnley FC,SCHEDULED
Aston Villa FC,Manchester United FC,SCHEDULED
Liverpool FC,Southampton FC,SCHEDULED
Manchester City FC,Chelsea FC,SCHEDULED
Arsenal FC,West Bromwich Albion FC,SCHEDULED
Sheffield United FC,Crystal Palace FC,SCHEDULED
Leicester City FC,Newcastle United FC,SCHEDULED
West Ham United FC,Everton FC,SCHEDULED
Leeds United FC,Tottenham Hotspur FC,SCHEDULED
Everton FC,Sheffield United FC,SCHEDULED
Burnley FC,Leeds United FC,SCHEDULED
Brighton & Hove Albion FC,West Ham United FC,SCHEDULED
West Bromwich Albion FC,Liverpool FC,SCHEDULED
Manchester United FC,Leicester City FC,SCHEDULED
Newcastle United FC,Manchester City FC,SCHEDULED
Chelsea FC,Arsenal FC,SCHEDULED
Tottenham Hotspur FC,Wolverhampton Wanderers FC,SCHEDULED
